,Points,Pos,Rating,Team,Weighted Matches
0,"7,365",1,283,Pakistan,26
1,"4,253",2,266,England,16
2,"4,196",3,262,South Africa,16
3,"5,471",4,261,Australia,21
4,"7,273",5,260,India,28
5,"4,056",6,254,New Zealand,16
6,"3,849",7,241,Afghanistan,16
7,"4,093",8,227,Sri Lanka,18
8,"4,747",9,226,West Indies,21
9,"3,525",10,220,Bangladesh,16
10,"1,698",11,212,Nepal,8
11,"2,185",12,199,Scotland,11
12,"1,730",13,192,Zimbabwe,9
13,"1,686",14,187,Netherlands,9
14,"3,455",15,182,Ireland,19
15,"2,527",16,181,UAE,14
16,"2,920",17,172,Papua New Guinea,17
17,774,18,155,Oman,5
18,"1,213",19,152,Hong Kong,8
19,"1,273",20,141,Namibia,9
20,"1,421",21,129,Qatar,11
21,"1,331",22,121,Saudi Arabia,11
22,"1,181",23,118,Singapore,10
23,813,24,116,Denmark,7
24,887,25,111,Canada,8
25,851,26,106,Jersey,8
26,727,27,104,Kuwait,7
27,602,28,100,Ghana,6
28,851,29,95,Kenya,9
29,"1,120",30,93,Botswana,12
30,758,31,84,United States,9
31,439,32,73,Austria,6
32,877,33,73,Malaysia,12
33,774,34,70,Germany,11
34,546,35,68,Guernsey,8
35,678,36,68,Uganda,10
36,465,37,58,Sweden,8
37,334,38,56,Tanzania,6
38,383,39,55,Nigeria,7
39,328,40,55,Luxembourg,6
40,479,41,53,Spain,9
41,433,42,48,Philippines,9
42,267,43,45,France,6
43,377,44,42,Belize,9
44,356,45,40,Peru,9
45,261,46,37,Bahrain,7
46,426,47,36,Mexico,12
47,210,48,35,Fiji,6
48,205,49,34,Samoa,6
49,330,50,33,Vanuatu,10
50,291,51,32,Panama,9
51,290,52,32,Belgium,9
52,317,53,32,Japan,10
53,252,54,32,Costa Rica,8
54,313,55,31,Thailand,10
55,370,56,31,Argentina,12
56,180,57,30,Hungary,6
57,352,58,29,Mozambique,12
58,249,59,25,Chile,10
59,297,60,25,Malawi,12
60,173,61,25,Israel,7
61,180,62,23,Bhutan,8
62,177,63,22,Finland,8
63,217,64,22,South Korea,10
64,149,65,21,Isle of Man,7
65,158,66,14,Malta,11
66,68,67,14,Bulgaria,5
67,61,68,12,Sierra Leone,5
68,108,69,12,Brazil,9
69,91,70,9,Czech Republic,10
70,109,71,9,Saint Helena,12
71,63,72,8,Maldives,8
72,35,73,4,Gibraltar,8
73,23,74,3,Myanmar,9
74,3,75,0,Indonesia,7
75,0,76,0,Lesotho,6
76,0,77,0,Rwanda,6
77,0,78,0,Swaziland,6
78,0,79,0,Gambia,6
79,0,80,0,China,11
